#snpEff_annotation	Sequence_Ontology_term	Ontology_group	Abbrev
coding_sequence_variant	SO:0001580	undefined	ND
exon_variant	SO:0001791	undefined	ND
gene_variant	SO:0001564	undefined	ND
transcript_variant	SO:0001576	undefined	ND
frameshift_variant	SO:0001589	frameshift	FS
conservative_inframe_deletion	SO:0001825	inframe	IF
conservative_inframe_insertion	SO:0001823	inframe	IF
disruptive_inframe_deletion	SO:0001826	inframe	IF
disruptive_inframe_insertion	SO:0001824	inframe	IF
inframe_insertion	SO:0001821	inframe	IF
conserved_intergenic_variant	SO:0002017	intergenic	IGR
downstream_gene_variant	SO:0001632	intergenic	IGR
intergenic_region	SO:0000605	intergenic	IGR
upstream_gene_variant	SO:0001631	intergenic	IGR
conserved_intron_variant	SO:0002018	intronic	INT
intragenic_variant	SO:0002011	intronic	INT
intron_variant	SO:0001627	intronic	INT
missense_variant	SO:0001583	nonsyn.	MIS
rare_amino_acid_variant	SO:0002008	nonsyn.	MIS
regulatory_region_ablation	SO:0001894	regulatory	REG
regulatory_region_amplification	SO:0001891	regulatory	REG
regulatory_region_variant	SO:0001566	regulatory	REG
TF_binding_site_variant	SO:0001782	regulatory	REG
TFBS_ablation	SO:0001895	regulatory	REG
TFBS_amplification	SO:0001892	regulatory	REG
mature_miRNA_variant	SO:0001620	RNA	RNA
miRNA	SO:0000276	RNA	RNA
non_coding_transcript_exon_variant	SO:0001792	RNA	RNA
non_coding_transcript_variant	SO:0001619	RNA	RNA
splice_acceptor_variant	SO:0001574	splicing	SPL
splice_donor_variant	SO:0001575	splicing	SPL
splice_region_variant	SO:0001630	splicing	SPL
initiator_codon_variant	SO:0001582	start/stop	START
NMD_transcript_variant	SO:0001621	start/stop	STOP
start_lost	SO:0002012	start/stop	START
start_retained		start/stop	START
stop_gained	SO:0001587	start/stop	STOP
stop_lost	SO:0001578	start/stop	STOP
stop_retained_variant	SO:0001567	start/stop	STOP
chromosome_number_variation	SO:1000182	structural	SV
exon_loss_variant	SO:0001572	structural	SV
feature_elongation	SO:0001907	structural	SV
feature_truncation	SO:0001906	structural	SV
transcript_ablation	SO:0001893	structural	SV
transcript_amplification	SO:0001889	structural	SV
synonymous_variant	SO:0001819	syn.	SYN
3_prime_UTR_variant	SO:0001624	UTR	UTR
5_prime_UTR_premature_start_codon_gain_variant		UTR	UTR
5_prime_UTR_variant	SO:0001623	UTR	UTR
